,coeff_Ch5,coeff_Ch6,coeff_gACH,coeff_gDA
photometrySideInIndexaA_-17,0.11391017986273605,0.0715210384772678,0.0943249252735096,0.1468918743474795
photometrySideInIndexaA_-16,0.03431204876734723,0.031571972634023095,0.12394268789219531,0.17069551095362856
photometrySideInIndexaA_-15,0.05838390703017002,0.10210213784483939,0.16958886606030582,0.22757014714083604
photometrySideInIndexaA_-14,0.12277459897093344,0.24627961238615473,0.2538155899140815,0.43840441926435175
photometrySideInIndexaA_-13,0.08074153802903855,0.5094282404096994,0.4650321945283683,0.7956403373422358
photometrySideInIndexaA_-12,-0.061753022327552615,0.7202405361790005,0.6552180527714214,1.0386336015871311
photometrySideInIndexaA_-11,-0.3122328356385062,0.8000742561695291,0.6242973241273293,1.1655534610488323
photometrySideInIndexaA_-10,-0.6518696187319794,0.9278675112167879,0.4336312042801763,1.1711992229075268
photometrySideInIndexaA_-09,-0.9529088841736695,0.8729502078431018,0.06372255517356636,1.0515731323873172
photometrySideInIndexaA_-08,-1.242290916272199,0.8110117167176593,-0.26319102949272066,0.8528805631298585
photometrySideInIndexaA_-07,-1.3375111584281847,0.7545149032698429,-0.5390072318910198,0.6603919957325787
photometrySideInIndexaA_-06,-1.3808306767018979,0.7342580208116114,-0.6437965949588716,0.6089129367556454
photometrySideInIndexaA_-05,-1.2365793554355127,0.8243629544352427,-0.44326571399633913,0.6189239688364013
photometrySideInIndexaA_-04,-1.1118468227661247,0.8505338279988401,-0.09922075112891411,0.6551130343115492
photometrySideInIndexaA_-03,-0.8730473331997964,0.8944537649764717,0.2698847361089866,0.6017728185210713
photometrySideInIndexaA_-02,-0.5740400468239157,0.8072068351704923,0.37914465377911927,0.36523279531926234
photometrySideInIndexaA_-01,-0.07281990204932019,0.5072392776143002,0.343996446176667,-0.08541857480862709
photometrySideInIndexaA_000,0.2702357824106939,0.32836872711567927,0.4022919853069642,-0.5338454882761059
photometrySideInIndexaA_001,0.4110855079038408,-0.035340430534999544,0.3692309922507166,-0.8773287294134253
photometrySideInIndexaA_002,0.8685425286764402,0.11129016455030545,1.1608945123975696,-0.5136460822886257
photometrySideInIndexaA_003,-0.013327543761709016,0.9096135215233913,1.6349412147295037,1.1785820113930927
photometrySideInIndexaA_004,-0.7826525258074709,1.7024550938798928,1.7484959823522943,2.756715226829727
photometrySideInIndexaA_005,-1.17301309013011,1.7696295753750386,1.3543477947562068,2.7227112562160176
photometrySideInIndexaA_006,-1.1879948993747131,1.4590420681813185,0.7744975000716313,2.0068690410415795
photometrySideInIndexaA_007,-0.8838549716507612,1.2480887080072864,0.5238147382639992,1.3415496788043724
photometrySideInIndexaA_008,-0.5521089488896077,0.9700645825109196,0.5177746846417117,0.8737120551692245
photometrySideInIndexaA_009,-0.2440904937384792,0.9587585146954214,0.5584649975385122,0.7694145927901551
photometrySideInIndexaA_010,-0.19521141332204184,0.7948655333904006,0.4499693046185525,0.6731200839664023
photometrySideInIndexaA_011,-0.23161826706292404,0.6787922456491454,0.18896435583729235,0.5272995139649115
photometrySideInIndexaA_012,-0.2390489789158119,0.48377854879724536,0.11267806475986786,0.33277791396411
photometrySideInIndexaA_013,-0.20968297131989147,0.4101695882925587,0.14369938422523088,0.07915686041131666
photometrySideInIndexaA_014,-0.0754822352090228,0.22959354554341482,0.16613208375519586,-0.031596445282894646
photometrySideInIndexaA_015,0.007065642560310633,0.18683037319625967,0.11734101139150763,-0.08867962751733235
photometrySideInIndexaA_016,0.0498132127650633,0.12326577033697808,0.037836436435112954,-0.11042738457299511
photometrySideInIndexaA_017,0.07608525552008767,0.06270987462488853,0.058270168735297695,-0.18273931744317218
photometrySideInIndexaA_018,0.0841544705500563,0.0626717140310846,-0.007986808294389303,-0.2094036501622171
photometrySideInIndexaA_019,0.07205578281342646,0.006988387360372767,0.040256153907755804,-0.09957570061338357
